user_id,store_id,rating,rating_timestamp
0,2,5,564651621
0,1,2,546521121
0,7,2,56541231
0,7,1,12341
0,3,3,1561623
0,3,5,123210
0,4,4,849262
1,5,6,84651321
1,1,8,5216213258
1,2,8,9423213
1,3,1,851321312
1,11,4,21894121
1,18,5,81621321
1,17,5,213891231
2,16,6,8121321
2,13,3,814621321
2,14,2,823618213
2,10,7,213218691
2,11,8,74984621
2,5,9,865189516
3,6,4,89162195162
3,7,4,2132546
3,9,5,216584956
3,1,6,561815651
3,4,1,98162165149
4,2,1,891621
4,3,2,596819516
4,1,3,81462132
4,3,4,61654169
4,13,8,21654765
4,17,7,32465
4,18,7,3165465
5,9,9,215864
5,8,9,625165498
5,6,4,654984231
6,6,4,658416216
6,1,4,845162
6,2,6,984651628
6,4,4,2613219
6,7,5,56181951
7,17,2,892313
7,13,4,546562
7,14,3,49856
8,12,8,8987915226
8,2,9,87985464
9,4,7,87989541
9,3,1,2135988794
10,7,1,8798954645
10,6,4,6556465
10,8,8,897895615
